,instance,alg,nodes,first_primal,ttfs,first_primal_gap,primal,dual,time,mem,primal_integral,expanded/fails/iters,generated/branches/nodes,primal_intergal
1138,random-70-7.12-0,CP-RANK-ADD,70,0,0,0,0,0.0,7.85,0,0,10457,21761,-1
1139,random-30-5.00-0,CP-RANK-ADD,30,1713.761,0.18,0.4210290215588723,1263.916,1263.79,318.27,0,0,2866505,6040186,0.05032392413856638
1140,random-20-7.60-0,CP-RANK-ADD,20,910.1727,0.06,0.8350256048387096,558.1197,119.9792,1800.0,0,0,27338371,57277161,0.12938720244735658
1141,random-20-10.00-0,CP-RANK-ADD,20,972.1416,0.07,1.4487193954659952,460.1036,73.1181,1800.01,0,0,35506717,74002385,0.16614637300867613
1142,random-30-7.60-0,CP-RANK-ADD,30,1675.96,0.05,1.3309596662030598,830.8184,175.7086,1800.01,0,0,17634887,37700346,0.16330073386261781
1143,random-30-10.00-0,CP-RANK-ADD,30,1583.391,0.05,1.4322442396313366,712.292,132.8136,1800.01,0,0,20407048,43806632,0.15244792027308413
1144,random-40-9.60-0,CP-RANK-ADD,40,2093.623,0.07,1.4009438073394496,1189.716,119.6934,1800.01,0,0,11840193,25696407,0.37512462959352694
1145,random-40-12.00-0,CP-RANK-ADD,40,2205.95,0.07,1.6200210649899611,1007.39,60.31794,1800.01,0,0,13051201,28627663,0.23441680554138017
1146,random-40-7.00-0,CP-RANK-ADD,40,2149.293,0.09,0.7195646922562173,1332.525,719.529,1800.01,0,0,10295762,22266451,0.12915696169423777
1147,random-50-7.00-0,CP-RANK-ADD,50,2313.306,0.49,0.6602533190818073,1565.519,531.315,1800.0,0,0,5596862,12318809,0.2168531769316178
1148,random-50-9.60-0,CP-RANK-ADD,50,2580.643,1.8,1.3691509966001372,1532.72,70.13218,1800.01,0,0,7902301,17251277,0.43610532067716884
1149,random-50-12.00-0,CP-RANK-ADD,50,2424.891,0.25,1.5532655486405127,1323.537,70.13218,1800.0,0,0,9056576,20092243,0.5434952432325522
1150,random-60-9.00-0,CP-RANK-ADD,60,3203.383,0.22,1.2218402221856577,1986.225,335.352,1800.0,0,0,4662145,10351247,0.405360342248569
1151,random-80-4.00-0,CP-RANK-ADD,80,0,0,0,0,0.0,2.24,0,0,2085,4399,-1
1152,random-150-60.00-0,CP-RANK-ADD,150,7958.89,1.65,4.408241150485805,3436.269,0.0,1800.02,0,0,949089,2303199,1.6632238448040582
